City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Tutoia,BR,-2.76,-42.27,78.94,78,82,10.87,broken clouds
297,Tapes,BR,-30.67,-51.4,58.01,86,73,4.27,broken clouds
298,Hirara,JP,24.8,125.28,83.39,78,100,8.25,heavy intensity rain
299,Ponta Delgada,PT,37.73,-25.67,73.4,73,75,4.03,broken clouds
300,Flin Flon,CA,54.77,-101.86,53.6,58,75,18.34,broken clouds
301,Tautira,PF,-17.73,-149.15,82.4,69,20,6.93,few clouds
302,Katsuura,JP,35.13,140.3,82.0,90,18,11.18,few clouds
303,Barmer,IN,25.75,71.38,85.64,63,96,10.8,overcast clouds
304,Fez,MA,34.04,-5.0,84.2,30,0,9.17,clear sky
305,La Libertad,EC,-2.23,-80.9,75.2,73,20,11.41,few clouds
306,Maun,BW,-19.98,23.42,77.0,38,0,11.41,clear sky
307,Seoul,KR,37.57,126.98,71.6,64,1,3.36,clear sky
308,Nampula,MZ,-15.12,39.27,64.4,77,75,11.41,broken clouds
309,Te Anau,NZ,-45.42,167.72,47.43,81,100,10.04,overcast clouds
310,Sakakah,SA,29.97,40.21,93.2,9,20,5.82,few clouds
311,Gaborone,BW,-24.65,25.91,62.6,59,0,5.82,clear sky
312,Los Llanos De Aridane,ES,28.66,-17.92,75.2,73,90,9.17,overcast clouds
313,Chitungwiza,ZW,-18.01,31.08,54.14,70,0,4.94,clear sky
314,Kemijarvi,FI,66.71,27.43,53.1,87,84,6.35,broken clouds
315,Tuatapere,NZ,-46.13,167.68,45.0,72,100,11.01,overcast clouds
316,Laguna,US,38.42,-121.42,89.01,37,5,3.36,clear sky
317,Koslan,RU,63.46,48.9,48.54,89,100,4.03,overcast clouds
318,Yumen,CN,40.28,97.2,60.93,28,9,6.82,clear sky
319,Swan River,CA,52.11,-101.27,60.03,46,0,17.0,clear sky
320,Dhidhdhoo,MV,6.88,73.1,81.46,78,95,12.37,light rain
321,Coquimbo,CL,-29.95,-71.34,60.8,63,0,13.87,clear sky
322,Talnakh,RU,69.49,88.4,41.0,93,88,24.61,overcast clouds
323,Belmonte,BR,-15.86,-38.88,73.4,78,20,3.36,few clouds
324,Kiunga,PG,-6.12,141.29,74.39,98,100,1.34,light rain
325,Usinsk,RU,65.99,57.53,47.34,86,100,5.48,light rain
326,Miri,MY,4.41,114.01,77.0,94,40,1.12,scattered clouds
327,Tarko-Sale,RU,64.92,77.78,46.99,86,57,17.72,broken clouds
328,Port Lincoln,AU,-34.73,135.87,52.59,79,83,10.42,broken clouds
329,Maningrida,AU,-12.07,134.27,67.19,89,0,6.06,clear sky
330,Ilanskiy,RU,56.24,96.06,58.53,86,75,8.57,broken clouds
331,Izmit,TR,40.77,29.92,69.8,94,0,2.24,clear sky
332,Orlik,RU,52.52,99.83,46.69,71,79,1.68,broken clouds
333,Charters Towers,AU,-20.1,146.27,60.69,90,0,6.87,clear sky
334,Sidhpura,IN,27.63,78.88,81.95,78,17,4.94,few clouds
335,Beringovskiy,RU,63.05,179.32,47.95,72,94,13.18,overcast clouds
336,Kentau,KZ,43.52,68.51,71.87,25,0,2.98,clear sky
337,Namwala,ZM,-15.75,26.44,64.35,49,0,4.07,clear sky
338,Kaabong,UG,3.48,34.15,66.31,69,35,2.84,scattered clouds
339,Seydi,TM,39.48,62.91,76.33,19,0,8.97,clear sky
340,Ojinaga,MX,29.57,-104.42,100.4,14,1,8.05,clear sky
341,Astoria,US,46.19,-123.83,80.01,60,1,8.05,clear sky
342,Kudahuvadhoo,MV,2.67,72.89,82.17,79,38,17.65,light rain
343,Polunochnoye,RU,60.87,60.42,36.95,88,12,4.16,few clouds
344,Cabatuan,PH,10.88,122.49,75.92,84,99,2.15,overcast clouds
345,Alice Springs,AU,-23.7,133.88,53.6,37,25,5.44,scattered clouds
346,Mayo,US,38.89,-76.51,89.6,70,1,16.11,clear sky
347,Hibbing,US,47.43,-92.94,60.8,47,75,18.34,broken clouds
348,Termoli,IT,41.99,14.99,66.0,78,1,7.76,clear sky
349,Dumai,ID,1.68,101.45,74.21,95,67,2.55,broken clouds
350,Axim,GH,4.87,-2.24,75.42,88,68,8.28,broken clouds
351,Raichur,IN,16.2,77.37,76.66,87,54,9.48,light rain
352,Mulege,MX,26.88,-111.98,94.46,43,0,7.67,clear sky
353,Mzimba,MW,-11.9,33.6,59.22,65,0,8.55,clear sky
354,Cubulco,GT,15.13,-90.58,64.4,100,90,4.7,light rain
355,Kirgiz-Miyaki,RU,53.63,54.8,43.23,90,0,5.95,clear sky
356,Havoysund,NO,71.0,24.66,59.0,71,0,13.87,clear sky
357,Henties Bay,NA,-22.12,14.28,55.0,91,0,1.01,clear sky
358,Benghazi,LY,32.12,20.07,79.09,75,0,18.59,clear sky
359,Gazojak,TM,41.19,61.4,74.82,20,0,3.04,clear sky
360,Port Hardy,CA,50.7,-127.42,62.6,72,75,3.36,broken clouds
361,Praia,CV,14.92,-23.51,82.4,74,75,6.93,broken clouds
